Score,Frequency
26,1
30,1
31,1
32,1
33,2
34,4
36,2
37,9
38,5
39,11
40,10
41,12
42,13
43,21
44,28
45,35
46,39
47,41
48,53
49,89
50,90
51,99
52,124
53,114
54,151
55,163
56,204
57,224
58,223
59,234
60,235
61,282
62,319
63,315
64,340
65,322
66,329
67,353
68,349
69,347
70,350
71,353
72,370
73,333
74,330
75,297
76,293
77,293
78,283
79,279
80,269
81,232
82,206
83,184
84,168
85,158
86,137
87,114
88,88
89,106
90,88
91,85
92,63
93,54
94,39
95,46
96,29
97,29
98,39
99,21
100,22
101,13
102,13
103,8
104,12
105,10
106,11
107,7
108,2
109,3
110,5
111,3
112,5
113,4
115,2
116,2
120,1
134,1
143,1
